n,B1,B2,B3,B4
0,NA,NA,NA,NA
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,0
13,NA,NA,NA,0
14,NA,NA,NA,1
15,NA,NA,NA,2
16,NA,NA,NA,2
17,NA,NA,NA,3
18,NA,NA,NA,3
19,NA,NA,NA,4
20,NA,NA,NA,5
21,NA,NA,NA,5
22,NA,NA,NA,6
23,NA,NA,NA,6
24,24,NA,NA,7
25,25,NA,NA,8
26,26,NA,NA,8
27,27,NA,NA,9
28,27,NA,NA,9
29,28,NA,NA,10
30,29,NA,NA,11
31,29,NA,NA,11
32,30,NA,NA,12
33,31,NA,NA,13
34,32,NA,NA,13
35,32,NA,NA,14
36,33,NA,NA,14
37,34,NA,NA,15
38,34,NA,NA,16
39,35,NA,NA,16
40,36,NA,NA,17
41,36,NA,NA,17
42,37,NA,NA,18
43,38,NA,NA,19
44,39,NA,NA,19
45,39,NA,NA,20
46,40,NA,NA,20
47,41,NA,NA,21
48,41,NA,NA,22
49,42,NA,NA,22
50,43,NA,NA,23
51,43,NA,NA,23
52,44,34,34,24
53,45,35,35,25
54,46,NA,NA,25
55,46,36,36,26
56,47,37,37,27
57,48,38,37,27
58,48,39,38,28
59,49,39,38,28
60,50,40,39,29
61,51,41,39,30
62,51,42,40,30
63,52,43,40,31
64,53,43,41,31
65,53,44,41,32
66,54,45,42,33
67,55,46,42,33
68,55,47,43,34
69,56,47,43,34
70,57,48,44,35
71,58,49,44,36
72,58,50,45,36
73,59,51,45,37
74,60,51,46,38
75,60,52,46,38
76,61,53,47,39
77,62,54,47,39
78,62,55,48,40
79,63,55,48,41
80,64,56,49,41
81,65,57,49,42
82,65,58,50,42
83,66,59,50,43
84,67,59,51,44
85,67,60,52,44
86,68,61,52,45
87,69,62,53,45
88,70,63,53,46
89,70,63,54,47
90,71,64,54,47
91,72,65,55,48
92,72,66,55,48
93,73,67,56,49
94,74,67,56,50
95,74,68,57,50
96,75,69,57,51
97,76,70,58,52
98,77,70,58,52
99,77,71,59,53
100,78,72,59,53
101,79,73,60,54
102,79,74,60,55
103,80,74,61,55
104,81,75,61,56
105,81,76,62,56
106,82,77,62,57
107,83,78,63,58
108,84,78,63,58
109,84,79,64,59
110,85,80,64,59
111,86,81,65,60
112,86,82,65,61
113,87,82,66,61
114,88,83,66,62
115,89,84,67,63
116,89,85,68,63
117,90,86,68,64
118,91,86,69,64
119,91,87,69,65
120,92,88,70,66
121,93,89,70,66
122,93,90,71,67
123,94,90,71,67
124,95,91,72,68
125,96,92,72,69
126,96,93,73,69
127,97,94,73,70
128,98,94,74,70
129,98,95,74,71
130,99,96,75,72
131,100,97,75,72
132,100,98,76,73
133,101,98,76,73
134,102,99,77,74
135,103,100,77,75
136,103,101,78,75
137,104,102,78,76
138,105,102,79,77
139,105,103,79,77
140,106,106,78,78
